EXP_ID,Stage,Condition,Area,Circ.,AR,Round,Solidity
Batch1,DIV3,Control,41.361,0.976,1.098,0.911,0.889
Batch1,DIV3,Control,80.653,0.676,1.832,0.546,0.867
Batch1,DIV3,Control,94.44,0.878,1.384,0.723,0.907
Batch1,DIV3,Control,86.857,0.786,1.463,0.683,0.854
Batch1,DIV3,Control,83.41,0.965,1.174,0.852,0.913
Batch1,DIV3,Control,36.535,1,1.136,0.88,0.891
Batch1,DIV3,Control,97.887,0.896,1.416,0.706,0.937
Batch1,DIV3,Control,82.032,0.763,1.624,0.616,0.835
Batch1,DIV3,Control,83.41,0.85,1.396,0.716,0.896
Batch1,DIV3,Control,56.526,0.703,1.296,0.772,0.808
Batch1,DIV3,Control,84.1,0.918,1.014,0.987,0.907
Batch1,DIV3,Control,80.653,0.88,1.596,0.627,0.903
Batch1,DIV3,Control,90.993,0.794,2.153,0.465,0.913
Batch1,DIV3,Control,84.789,0.797,1.994,0.501,0.918
